تنهنجو 10070 الف 21351 دوران 50219 سندن 2068791 جي
4820 آ 9962 باب 20829 ويندا 49856 ۽ 980764 جو
4741 اور 9834 بنا 20214 وغيره 49060 ويندو 895430 ته
4680 هيس 9593 رهن 20132 پوِء 46609 رهيا 528745 تي
4533 بنجي 9154 ايندي 192667 جاري 45822 هوندو 538301 به
4516 هليا 9052 اتان 19200 هلي 43204 منهنجي 409252 سان
4493 اول 8947 بن 18996 ورتو 42837 ها 397751 ان
4092 هلندو 8890 هليو 18026 لفظ 42508 بي 397393 نه
4064 مليا 8787 ترجمو 17784 ۾ 38121 هنن 393941 هو
4516 هيل 8222 ون 16773 مطلب 37991 توهان 291307 جا
4820 عنوان 8101 رهندا 16602 هجن 37032 بعد 283280 هن
4741 اور 7966 نهايت 16308 اسين 36961 هوندي 231711 مان
4680 هيس 7838 هوس 15405 مثال 35774 نالو 192158 اهو
4533 بنجي 7617 ورتي 15278 ويون 35711 صفحو 183937 جنهن
4518 آُء 7556 ناال 14814 ايندو 34695 اتي 165138 ويو
4496 تائين 7546 بهرحال 14702 خود 33882 تمام 156051 انهن
4426 وڃ 7523 عالوه 13837 ايترو 33303 وارن 151600 اسان
4419 تن 7310 ناهن 13797 جيان 32736 نالي 150984 يا
4407 ڪجن 7218 آيو 13514 آهن 32449 هتي 129866 سندس
4389 اهي 7206 هيا 12823 بس 32343 تنهن 120907 واري
4378 نيند 7398 هتان 12656 باوجود 31957 تان 108985 مون
4357 آيا 6550 رهندي 12620 ثابت 31562 سو 101799 اها
4342 هوند 6526 وجهي 12601 تو 30835 بابت 100484 آهي
4331 ملڻ 6493 جيڪر 12592 ڇو 30146 يعني 87537 هي
4318 هئس 6453 هونديون 12408 معني 28525 ويندي 82867 هئي
4302 سواِء 6346 احوال 10941 رهيون 27497 اوهان 80650 جن
4206 آند 6029 الِء 10889 عنوان 27030 وارا 77724 رهيو
4193 تنهن 5457 واريون 10875 باري 26425 هيون 74937 هر
4165 ڪري 5321 ملن 10844 مليو 25442 صرف 62225 وري
4138 آيس 5320 ملندو 10791 جلد 25271 سي 60474 رهي
4123 جول 5318 جتان 10790 تنهنجي 24903 تون 59968 ته
4058 اڻهوند 5292 وارين 10339 وي 24871 هيو 58308 ويا
4037 آيل 5182 حوالو 10337 ويهي 24656 اي 51691 هجي
4013 رهه 5039 هيڪر 10167 ايندا 22149 فقط 51501 وارو
